constituency,pcon13cd,pcon15cd,first_name,last_name,party,colour,population_all,population_reg,percentage,deviation,
The Cotswolds,E14000991,E14000991,Geoffrey,Clifton-Brown,Conservative,#0087DC,"97,637",78290,104.7091709,-4.709170913,
The Wrekin,E14000992,E14000992,Mark,Pritchard,Conservative,#0087DC,"92,648",65942,88.19430513,11.80569487,
Thirsk and Malton,E14000993,E14000993,Kevin,Hollinrake,Conservative,#0087DC,"98,371",77451,103.5870481,-3.587048108,
Thornbury and Yate,E14000994,E14000994,Luke,Hall,Conservative,#0087DC,"84,270",66066,88.36014926,11.63985074,
Thurrock,E14000995,E14000995,Jackie,Doyle-Price,Conservative,#0087DC,"122,024",77559,103.731493,-3.731492998,
Tiverton and Honiton,E14000996,E14000996,Neil,Parish,Conservative,#0087DC,"99,493",76270,102.0075165,-2.007516484,
Tonbridge and Malling,E14000997,E14000997,Thomas,Tugendhat,Conservative,#0087DC,"102,375",74877,100.1444449,-0.14444489,
Tooting,E14000998,E14000998,Sadiq,Khan,Labour,#DC241f,"107,523",76782,102.6922923,-2.69229226,
Torbay,E14000999,E14000999,Kevin,Foster,Conservative,#0087DC,"98,650",76350,102.1145127,-2.114512699,
Torfaen,W07000053,W07000053,Nick,Thomas-Symonds,Labour,#DC241f,"81,730",61896,82.78297155,17.21702845,
Torridge and West Devon,E14001000,E14001000,Geoffrey,Cox,Conservative,#0087DC,"99,202",78621,105.1518678,-5.151867753,
Totnes,E14001001,E14001001,Sarah,Wollaston,Conservative,#0087DC,"83,970",68630,91.78937795,8.210622049,
Tottenham,E14001002,E14001002,David,Lammy,Labour,#DC241f,"138,103",70803,94.69566264,5.304337359,
Truro and Falmouth,E14001003,E14001003,Sarah,Newton,Conservative,#0087DC,"92,256",73601,98.43785526,1.562144739,
Tunbridge Wells,E14001004,E14001004,Greg,Clark,Conservative,#0087DC,"106,292",73429,98.2078134,1.792186601,
Twickenham,E14001005,E14001005,Tania,Mathias,Conservative,#0087DC,"117,151",80250,107.3305782,-7.330578181,
Tynemouth,E14001006,E14001006,Alan,Campbell,Labour,#DC241f,"99,546",77524,103.6846822,-3.684682154,
Uxbridge and South Ruislip,E14001007,E14001007,Boris,Johnson,Conservative,#0087DC,"107,528",70631,94.46562078,5.534379221,
Vale of Clwyd,W07000060,W07000060,James,Davies,Conservative,#0087DC,"71,692",56505,75.57276411,24.42723589,
Vale of Glamorgan,W07000078,W07000078,Alun,Cairns,Conservative,#0087DC,"98,688",72794,97.35853094,2.641469058,
Vauxhall,E14001008,E14001008,Kate,Hoey,Labour,#DC241f,"118,633",82231,109.980072,-9.980071955,
Wakefield,E14001009,E14001009,Mary,Creagh,Labour,#DC241f,"96,686",70521,94.31850098,5.681499017,
Wallasey,E14001010,E14001010,Angela,Eagle,Labour,#DC241f,"89,686",65495,87.59646378,12.40353622,
Walsall North,E14001011,E14001011,David,Winnick,Labour,#DC241f,"95,970",67080,89.71632628,10.28367372,
Walsall South,E14001012,E14001012,Valerie,Vaz,Labour,#DC241f,"100,467",67743,90.60305742,9.396942583,
Walthamstow,E14001013,E14001013,Stella,Creasy,Labour/Co-operative,#DC241f,"115,911",67015,89.62939186,10.37060814,
Wansbeck,E14001014,E14001014,Ian,Lavery,Labour,#DC241f,"81,756",60705,81.1900654,18.8099346,
Wantage,E14001015,E14001015,Ed,Vaizey,Conservative,#0087DC,"110,586",82931,110.9162888,-10.91628884,
Warley,E14001016,E14001016,John,Spellar,Labour,#DC241f,"94,734",63738,85.2465594,14.7534406,
Warrington North,E14001017,E14001017,Helen,Jones,Labour,#DC241f,"95,929",72104,96.43568859,3.564311412,
Warrington South,E14001018,E14001018,David,Mowat,Conservative,#0087DC,"110,499",84767,113.371852,-13.37185197,
Warwick and Leamington,E14001019,E14001019,Chris,White,Conservative,#0087DC,"99,149",71578,95.73218847,4.267811526,
Washington and Sunderland West,E14001020,E14001020,Sharon,Hodgson,Labour,#DC241f,"88,449",68190,91.20089877,8.799101232,
Watford,E14001021,E14001021,Richard,Harrington,Conservative,#0087DC,"119,714",83535,111.7241103,-11.72411026,
Waveney,E14001022,E14001022,Peter,Aldous,Conservative,#0087DC,"102,963",80166,107.2182322,-7.218232155,
Wealden,E14001023,E14001023,Nusrat,Ghani,Conservative,#0087DC,"106,166",80236,107.3118538,-7.311853843,
Weaver Vale,E14001024,E14001024,Graham,Evans,Conservative,#0087DC,"88,160",68407,91.491126,8.508873999,
Wellingborough,E14001025,E14001025,Peter,Bone,Conservative,#0087DC,"108,492",74317,99.39547139,0.604528615,
Wells,E14001026,E14001026,James,Heappey,Conservative,#0087DC,"105,205",79405,106.2004307,-6.20043066,
Welwyn Hatfield,E14001027,E14001027,Grant,Shapps,Conservative,#0087DC,"110,751",73247,97.96439701,2.035602991,
Wentworth and Dearne,E14001028,E14001028,John,Healey,Labour,#DC241f,"96,636",74283,99.34999799,0.650002006,
West Bromwich East,E14001029,E14001029,Tom,Watson,Labour,#DC241f,"90,053",63637,85.11147668,14.88852332,
West Bromwich West,E14001030,E14001030,Adrian,Bailey,Labour/Co-operative,#DC241f,"93,287",65524,87.6352499,12.3647501,
West Dorset,E14001031,E14001031,Oliver,Letwin,Conservative,#0087DC,"96,498",78000,104.3213096,-4.321309634,
West Ham,E14001032,E14001032,Lyn,Brown,Labour,#DC241f,"166,376",90640,121.2267116,-21.22671161,
West Lancashire,E14001033,E14001033,Rosie,Cooper,Labour,#DC241f,"96,227",70906,94.83342027,5.166579732,
West Suffolk,E14001034,E14001034,Matthew,Hancock,Conservative,#0087DC,"116,858",76198,101.9112199,-1.911219891,
West Worcestershire,E14001035,E14001035,Harriett,Baldwin,Conservative,#0087DC,"93,535",73394,98.16100255,1.838997445,
Westminster North,E14001036,E14001036,Karen,Buck,Labour,#DC241f,"123,502",62346,83.38482526,16.61517474,
Westmorland and Lonsdale,E14001037,E14001037,Tim,Farron,Liberal Democrat,#FDBB30,"83,520",65857,88.08062165,11.91937835,
Weston-Super-Mare,E14001038,E14001038,John,Penrose,Conservative,#0087DC,"107,520",80309,107.4094879,-7.409487889,
Wigan,E14001039,E14001039,Lisa,Nandy,Labour,#DC241f,"102,895",75990,101.6330297,-1.633029732,
Wimbledon,E14001040,E14001040,Stephen,Hammond,Conservative,#0087DC,"97,069",65853,88.07527184,11.92472816,
Winchester,E14001041,E14001041,Steve,Brine,Conservative,#0087DC,"98,884",74119,99.13065575,0.869344247,
Windsor,E14001042,E14001042,Adam,Afriyie,Conservative,#0087DC,"104,074",71538,95.67869037,4.321309634,
Wirral South,E14001043,E14001043,Alison,McGovern,Labour,#DC241f,"72,795",56956,76.17595528,23.82404472,
Wirral West,E14001044,E14001044,Margaret,Greenwood,Labour,#DC241f,"69,251",55377,74.06411748,25.93588252,
Witham,E14001045,E14001045,Priti,Patel,Conservative,#0087DC,"90,028",67090,89.72970081,10.27029919,
Witney,E14001046,E14001046,David,Cameron,Conservative,#0087DC,"108,158",79767,106.6845885,-6.684588533,
Woking,E14001047,E14001047,Jonathan,Lord,Conservative,#0087DC,"106,153",74269,99.33127366,0.668726344,
Wokingham,E14001048,E14001048,John,Redwood,Conservative,#0087DC,"105,240",77881,104.1621528,-4.162152764,
Wolverhampton North East,E14001049,E14001049,Emma,Reynolds,Labour,#DC241f,"89,495",61065,81.67154837,18.32845163,
Wolverhampton South East,E14001050,E14001050,Pat,McFadden,Labour,#DC241f,"90,610",62556,83.66569033,16.33430967,
Wolverhampton South West,E14001051,E14001051,Rob,Marris,Labour,#DC241f,"85,238",60368,80.73934385,19.26065615,
Worcester,E14001052,E14001052,Robin,Walker,Conservative,#0087DC,"100,842",72461,96.9131592,3.086840803,
Workington,E14001053,E14001053,Sue,Hayman,Labour,#DC241f,"78,641",58615,78.39478928,21.60521072,
Worsley and Eccles South,E14001054,E14001054,Barbara,Keeley,Labour,#DC241f,"100,905",72177,96.53332263,3.466677366,
Worthing West,E14001055,E14001055,Peter,Bottomley,Conservative,#0087DC,"96,480",75617,101.1341599,-1.134159879,
Wrexham,W07000044,W07000044,Ian,Lucas,Labour,#DC241f,"71,008",50992,68.19938745,31.80061255,
Wycombe,E14001056,E14001056,Steven,Baker,Conservative,#0087DC,"110,723",76371,102.1425992,-2.142599206,
Wyre and Preston North,E14001057,E14001057,Ben,Wallace,Conservative,#0087DC,"89,025",70637,94.47364549,5.526354505,
Wyre Forest,E14001058,E14001058,Mark,Garnier,Conservative,#0087DC,"98,960",77407,103.5282002,-3.52820019,
Wythenshawe and Sale East,E14001059,E14001059,Mike,Kane,Labour,#DC241f,"107,351",75994,101.6383795,-1.638379542,
Yeovil,E14001060,E14001060,Marcus,Fysh,Conservative,#0087DC,"109,196",82447,110.2689617,-10.26896174,
Ynys M?n,W07000041,W07000041,Albert,Owen,Labour,#DC241f,"70,169",49939,66.79104977,33.20895023,
York Central,E14001061,E14001061,Rachael,Maskell,Labour/Co-operative,#DC241f,"109,007",75351,100.7783975,-0.778397464,
York Outer,E14001062,E14001062,Julian,Sturdy,Conservative,#0087DC,"95,432",78561,105.0716206,-5.071620591,
,,,,,,,,,,,
,,,,,,,,,,,
